,Contract Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied_Volatility,Ticker,C/P
105,GOOG190920P01182500,2019-09-16 2:29PM EDT,"1,182.50",0.95,0.4,0.7,0,-,21,56,23.26%,GOOG,P
106,GOOG190920P01185000,2019-09-17 11:49AM EDT,"1,185.00",0.65,0.5,0.75,-0.28,-30.11%,6,111,22.58%,GOOG,P
107,GOOG190920P01187500,2019-09-17 3:52PM EDT,"1,187.50",0.68,0.5,0.85,-0.55,-44.72%,20,37,22.17%,GOOG,P
108,GOOG190920P01190000,2019-09-17 3:04PM EDT,"1,190.00",0.96,0.55,0.9,-0.04,-4.00%,21,411,21.40%,GOOG,P
109,GOOG190920P01192500,2019-09-17 2:17PM EDT,"1,192.50",1.25,0.65,1,-0.05,-3.85%,46,61,20.86%,GOOG,P
110,GOOG190920P01195000,2019-09-17 3:51PM EDT,"1,195.00",0.95,0.75,1.2,-0.54,-36.24%,31,228,20.73%,GOOG,P
111,GOOG190920P01197500,2019-09-17 3:40PM EDT,"1,197.50",1.15,0.9,1.35,-0.51,-30.72%,29,194,20.23%,GOOG,P
112,GOOG190920P01200000,2019-09-17 3:57PM EDT,"1,200.00",1.3,1.05,1.45,-0.37,-22.16%,96,893,19.46%,GOOG,P
113,GOOG190920P01202500,2019-09-17 1:42PM EDT,"1,202.50",2.15,1.25,1.8,-0.25,-10.42%,3,159,19.53%,GOOG,P
114,GOOG190920P01205000,2019-09-17 3:57PM EDT,"1,205.00",1.85,1.55,1.95,-0.5,-21.28%,103,564,18.75%,GOOG,P
115,GOOG190920P01207500,2019-09-17 3:20PM EDT,"1,207.50",2.95,1.75,2.35,0.2,7.27%,82,89,18.67%,GOOG,P
116,GOOG190920P01210000,2019-09-17 3:57PM EDT,"1,210.00",2.6,2.3,2.65,-0.4,-13.33%,523,"1,382",18.13%,GOOG,P
117,GOOG190920P01212500,2019-09-17 3:21PM EDT,"1,212.50",4.2,2.9,3.2,0.52,14.13%,172,182,18.11%,GOOG,P
118,GOOG190920P01215000,2019-09-17 3:55PM EDT,"1,215.00",3.6,3.5,3.7,-0.89,-19.82%,441,843,17.78%,GOOG,P
119,GOOG190920P01217500,2019-09-17 3:52PM EDT,"1,217.50",4.3,4.1,4.5,-0.69,-13.83%,176,98,17.95%,GOOG,P
120,GOOG190920P01220000,2019-09-17 3:47PM EDT,"1,220.00",5,4.8,5.2,-0.8,-13.79%,427,911,17.69%,GOOG,P
121,GOOG190920P01222500,2019-09-17 3:52PM EDT,"1,222.50",5.8,5.4,6.1,-0.74,-11.31%,27,129,17.66%,GOOG,P
122,GOOG190920P01225000,2019-09-17 3:55PM EDT,"1,225.00",6.7,6.2,7,-0.5,-6.94%,227,525,17.41%,GOOG,P
123,GOOG190920P01227500,2019-09-17 3:56PM EDT,"1,227.50",8.4,7.1,8.1,0.3,3.70%,141,142,17.35%,GOOG,P
124,GOOG190920P01230000,2019-09-17 3:59PM EDT,"1,230.00",8.8,8.3,9.1,0,-,186,370,16.88%,GOOG,P
125,GOOG190920P01232500,2019-09-17 3:10PM EDT,"1,232.50",12.5,9.3,10.4,2.1,20.19%,16,207,16.77%,GOOG,P
126,GOOG190920P01235000,2019-09-17 3:41PM EDT,"1,235.00",11.71,10.6,11.8,-0.29,-2.42%,61,342,16.64%,GOOG,P
127,GOOG190920P01237500,2019-09-17 3:59PM EDT,"1,237.50",12.8,12.2,13.3,-0.32,-2.44%,12,212,16.46%,GOOG,P
128,GOOG190920P01240000,2019-09-17 2:16PM EDT,"1,240.00",18,13.1,14.8,3.4,23.29%,19,283,16.03%,GOOG,P
129,GOOG190920P01242500,2019-09-17 1:54PM EDT,"1,242.50",18.6,14.7,16.8,6.5,53.72%,7,115,16.49%,GOOG,P
130,GOOG190920P01245000,2019-09-17 3:47PM EDT,"1,245.00",17.6,16.6,18.8,2.6,17.33%,54,17,16.77%,GOOG,P
131,GOOG190920P01247500,2019-09-16 12:44PM EDT,"1,247.50",19.05,17.8,20.8,-2.45,-11.40%,1,8,16.86%,GOOG,P
132,GOOG190920P01250000,2019-09-17 2:14PM EDT,"1,250.00",26.1,20.2,22.7,4.1,18.64%,11,74,16.43%,GOOG,P
133,GOOG190920P01252500,2019-09-16 12:07AM EDT,"1,252.50",21.2,22.5,26.3,0,-,-,2,20.95%,GOOG,P
134,GOOG190920P01255000,2019-09-16 1:29PM EDT,"1,255.00",29,23,28,0,-,2,4,19.87%,GOOG,P
135,GOOG190920P01260000,2019-09-17 10:10AM EDT,"1,260.00",33.72,27.5,32.4,3.11,10.16%,5,"1,551",20.15%,GOOG,P
136,GOOG190920P01265000,2019-09-04 10:25AM EDT,"1,265.00",92.01,33.1,39,0,-,3,2,27.98%,GOOG,P
137,GOOG190920P01270000,2019-09-17 10:31AM EDT,"1,270.00",43.9,37.5,43.3,-30.2,-40.76%,2,0,28.05%,GOOG,P
138,GOOG190920P01280000,2019-09-05 10:42AM EDT,"1,280.00",76.38,46.8,54.6,0,-,2,6,37.16%,GOOG,P
139,GOOG190920P01285000,2019-08-15 11:01AM EDT,"1,285.00",116.74,41,49.9,0,-,10,0,0.00%,GOOG,P
140,GOOG190920P01290000,2019-08-26 11:41AM EDT,"1,290.00",129.03,57,65.5,0,-,1,2,44.83%,GOOG,P
141,GOOG190920P01300000,2019-09-06 12:08PM EDT,"1,300.00",93,67.3,75.4,0,-,3,10,49.13%,GOOG,P
142,GOOG190920P01310000,2019-09-06 12:07PM EDT,"1,310.00",103.3,77.3,85.4,0,-,2,2,53.60%,GOOG,P
143,GOOG190920P01317500,2019-09-16 11:58AM EDT,"1,317.50",86.5,84.8,92.9,0,-,-,4,56.86%,GOOG,P
144,GOOG190920P01320000,2019-08-13 3:31PM EDT,"1,320.00",124.15,75.8,85.3,0,-,3,0,0.00%,GOOG,P
145,GOOG190920P01340000,2019-08-13 3:31PM EDT,"1,340.00",143.96,96,105.3,0,-,3,0,0.00%,GOOG,P
146,GOOG190920P01350000,2019-07-31 1:32PM EDT,"1,350.00",118.39,157.4,166.9,0,-,-,0,165.53%,GOOG,P
147,GOOG190920P01360000,2019-08-30 12:05PM EDT,"1,360.00",175,127.3,136,0,-,14,0,51.32%,GOOG,P
148,GOOG190920P01370000,2019-09-16 1:29PM EDT,"1,370.00",143,136.8,145.9,0,-,7,0,50.44%,GOOG,P
149,GOOG190920P01380000,2019-07-16 10:04AM EDT,"1,380.00",228.9,199.5,209.7,0,-,20,0,209.15%,GOOG,P
150,GOOG190920P01420000,2019-06-07 11:12AM EDT,"1,420.00",164.1,284.2,293.5,0,-,-,0,322.64%,GOOG,P
151,GOOG190920P01500000,2019-07-15 9:32AM EDT,"1,500.00",357.4,321,329,0,-,1,0,270.10%,GOOG,P
152,GOOG190920P01600000,2019-08-19 12:03AM EDT,"1,600.00",428.9,366.9,375.8,0,-,-,-,107.32%,GOOG,P
153,GOOG190920P01660000,2019-06-07 11:12AM EDT,"1,660.00",478.2,524.2,533.5,0,-,-,0,435.00%,GOOG,P
154,GOOG190920P01740000,2019-06-07 11:12AM EDT,"1,740.00",558.2,604.5,613,0,-,-,0,465.51%,GOOG,P
0,NFLX190920P00165000,2019-09-10 2:13PM EDT,165,0.01,0,0.01,0,-,20,"1,949",171.88%,NFLX,P
1,NFLX190920P00170000,2019-09-09 3:25PM EDT,170,0.01,0.01,0.01,0,-,37,240,171.88%,NFLX,P
2,NFLX190920P00175000,2019-09-10 1:21PM EDT,175,0.04,0,0.01,0,-,1,364,156.25%,NFLX,P
3,NFLX190920P00180000,2019-09-10 3:00PM EDT,180,0.02,0,0.01,0,-,65,354,146.88%,NFLX,P
4,NFLX190920P00185000,2019-09-11 3:34PM EDT,185,0.04,0.01,0.01,0,-,31,185,146.88%,NFLX,P
5,NFLX190920P00190000,2019-09-11 1:14PM EDT,190,0.02,0.02,0.01,0,-,2,243,145.31%,NFLX,P
6,NFLX190920P00195000,2019-08-29 3:59PM EDT,195,0.05,0,0.01,0,-,34,126,125.00%,NFLX,P
7,NFLX190920P00200000,2019-09-17 11:17AM EDT,200,0.01,0,0.01,0,-,38,"1,059",118.75%,NFLX,P
8,NFLX190920P00205000,2019-09-11 3:16PM EDT,205,0.08,0,0.01,0,-,76,135,112.50%,NFLX,P
9,NFLX190920P00210000,2019-09-16 10:25AM EDT,210,0.01,0,0.01,-0.06,-85.71%,10,318,106.25%,NFLX,P
10,NFLX190920P00215000,2019-09-17 3:20PM EDT,215,0.01,0,0.01,-0.02,-66.67%,42,443,96.88%,NFLX,P
11,NFLX190920P00220000,2019-09-17 3:57PM EDT,220,0.01,0,0.01,-0.01,-50.00%,22,"1,080",90.63%,NFLX,P
12,NFLX190920P00225000,2019-09-17 9:32AM EDT,225,0.03,0.01,0.03,0,-,1,313,96.88%,NFLX,P
13,NFLX190920P00230000,2019-09-17 1:53PM EDT,230,0.03,0.01,0.07,0,-,156,"1,411",96.09%,NFLX,P
14,NFLX190920P00235000,2019-09-17 12:38PM EDT,235,0.03,0.01,0.04,-0.01,-25.00%,2,"1,233",84.77%,NFLX,P
15,NFLX190920P00240000,2019-09-17 3:33PM EDT,240,0.02,0.01,0.03,-0.03,-60.00%,41,"1,818",76.56%,NFLX,P
16,NFLX190920P00245000,2019-09-17 11:29AM EDT,245,0.05,0.02,0.04,-0.02,-28.57%,68,"1,567",72.66%,NFLX,P
17,NFLX190920P00247500,2019-09-17 11:09AM EDT,247.5,0.06,0,0.04,-0.1,-62.50%,17,100,66.41%,NFLX,P
18,NFLX190920P00250000,2019-09-17 3:35PM EDT,250,0.04,0.01,0.04,-0.05,-55.56%,87,"2,089",64.84%,NFLX,P
19,NFLX190920P00252500,2019-09-17 10:12AM EDT,252.5,0.09,0,0.05,-0.12,-57.14%,3,261,61.33%,NFLX,P
20,NFLX190920P00255000,2019-09-17 3:55PM EDT,255,0.05,0.02,0.05,-0.07,-58.33%,159,"2,067",60.16%,NFLX,P
21,NFLX190920P00257500,2019-09-17 3:07PM EDT,257.5,0.08,0.02,0.13,-0.06,-42.86%,32,157,62.70%,NFLX,P
22,NFLX190920P00260000,2019-09-17 3:50PM EDT,260,0.08,0.05,0.11,-0.12,-60.00%,212,"4,819",59.57%,NFLX,P
23,NFLX190920P00262500,2019-09-17 3:47PM EDT,262.5,0.03,0.04,0.16,-0.14,-82.35%,3,273,57.72%,NFLX,P
24,NFLX190920P00265000,2019-09-17 3:58PM EDT,265,0.07,0.03,0.1,-0.14,-66.67%,85,"3,835",50.78%,NFLX,P
25,NFLX190920P00267500,2019-09-17 3:56PM EDT,267.5,0.1,0.08,0.12,-0.16,-61.54%,57,369,50.39%,NFLX,P
26,NFLX190920P00270000,2019-09-17 3:58PM EDT,270,0.11,0.08,0.14,-0.2,-64.52%,433,"6,983",49.22%,NFLX,P
27,NFLX190920P00272500,2019-09-17 3:55PM EDT,272.5,0.14,0.14,0.16,-0.29,-67.44%,223,578,46.39%,NFLX,P
28,NFLX190920P00275000,2019-09-17 3:58PM EDT,275,0.13,0.12,0.16,-0.33,-71.74%,503,"2,636",42.48%,NFLX,P
29,NFLX190920P00277500,2019-09-17 3:51PM EDT,277.5,0.2,0.15,0.2,-0.42,-67.74%,144,"1,192",40.19%,NFLX,P
30,NFLX190920P00280000,2019-09-17 3:59PM EDT,280,0.23,0.22,0.26,-0.58,-71.60%,994,"14,336",38.09%,NFLX,P
31,NFLX190920P00282500,2019-09-17 3:59PM EDT,282.5,0.32,0.3,0.33,-0.71,-68.93%,595,"2,137",35.69%,NFLX,P
32,NFLX190920P00285000,2019-09-17 3:59PM EDT,285,0.42,0.41,0.46,-0.92,-68.66%,"1,166","4,735",33.94%,NFLX,P
33,NFLX190920P00287500,2019-09-17 3:59PM EDT,287.5,0.64,0.58,0.67,-1.22,-65.59%,"1,221","2,309",32.57%,NFLX,P
34,NFLX190920P00290000,2019-09-17 3:59PM EDT,290,0.93,0.89,0.97,-1.53,-62.20%,"4,919","7,362",31.15%,NFLX,P
35,NFLX190920P00292500,2019-09-17 3:59PM EDT,292.5,1.4,1.37,1.43,-2,-58.82%,"3,959","5,224",30.05%,NFLX,P
36,NFLX190920P00295000,2019-09-17 3:59PM EDT,295,2.09,2.05,2.13,-2.36,-53.03%,"6,145","7,395",29.46%,NFLX,P
37,NFLX190920P00297500,2019-09-17 3:59PM EDT,297.5,3.23,3,3.1,-2.62,-44.79%,"2,502",780,29.11%,NFLX,P
38,NFLX190920P00300000,2019-09-17 3:59PM EDT,300,4.5,4.3,4.4,-3.13,-41.02%,"1,831","13,267",29.26%,NFLX,P
39,NFLX190920P00302500,2019-09-17 3:59PM EDT,302.5,6.1,5.85,6.05,-3.44,-36.06%,234,289,30.15%,NFLX,P
40,NFLX190920P00305000,2019-09-17 3:59PM EDT,305,8.02,7.75,7.9,-3.58,-30.86%,597,"1,632",30.88%,NFLX,P
41,NFLX190920P00307500,2019-09-17 3:55PM EDT,307.5,9.99,9.55,10.1,-3.79,-27.50%,103,145,33.57%,NFLX,P
42,NFLX190920P00310000,2019-09-17 3:50PM EDT,310,11.8,11.7,12.4,-4.9,-29.34%,158,"9,476",36.45%,NFLX,P
43,NFLX190920P00312500,2019-09-17 2:55PM EDT,312.5,14.98,13.85,15.2,-2.91,-16.27%,10,139,45.26%,NFLX,P
44,NFLX190920P00315000,2019-09-17 3:51PM EDT,315,16.52,16.35,17.1,-4.44,-21.18%,75,"2,558",41.48%,NFLX,P
45,NFLX190920P00317500,2019-09-16 3:58PM EDT,317.5,23.39,18.6,20,0,-,1,84,52.17%,NFLX,P
46,NFLX190920P00320000,2019-09-17 3:46PM EDT,320,21.5,21.45,21.95,-4.88,-18.50%,82,"3,069",47.02%,NFLX,P
47,NFLX190920P00322500,2019-09-16 9:32AM EDT,322.5,27.85,22.45,25.35,0,-,2,13,66.31%,NFLX,P
48,NFLX190920P00325000,2019-09-17 3:18PM EDT,325,27.46,26,27.5,-3.4,-11.02%,12,"2,605",65.28%,NFLX,P
49,NFLX190920P00327500,2019-09-11 11:34AM EDT,327.5,35.5,28.3,30.25,0,-,-,1,53.91%,NFLX,P
50,NFLX190920P00330000,2019-09-17 3:57PM EDT,330,31.4,30.85,32.3,-4.7,-13.02%,97,"7,674",69.78%,NFLX,P
51,NFLX190920P00335000,2019-09-17 3:57PM EDT,335,36.38,35.8,37.65,-4.9,-11.87%,11,591,62.40%,NFLX,P
52,NFLX190920P00340000,2019-09-17 3:26PM EDT,340,42.02,40.8,42.3,-6.02,-12.53%,14,731,60.55%,NFLX,P
53,NFLX190920P00345000,2019-09-17 11:08AM EDT,345,49.29,45.75,47.25,-1.99,-3.88%,47,325,62.50%,NFLX,P
54,NFLX190920P00350000,2019-09-17 1:18PM EDT,350,52.65,50.75,52.45,-1.6,-2.95%,1,939,74.90%,NFLX,P
55,NFLX190920P00355000,2019-09-12 3:52PM EDT,355,65.6,55.75,57.3,0,-,155,487,75.20%,NFLX,P
56,NFLX190920P00360000,2019-09-12 3:52PM EDT,360,70.6,60.75,62.45,0,-,181,664,85.84%,NFLX,P
57,NFLX190920P00365000,2019-09-13 3:32PM EDT,365,70.8,65.75,67.6,0,-,100,184,95.61%,NFLX,P
58,NFLX190920P00370000,2019-09-13 3:32PM EDT,370,75.85,70.75,72.25,0,-,100,211,87.70%,NFLX,P
59,NFLX190920P00375000,2019-09-17 12:50PM EDT,375,78.4,75.8,77.45,-2.45,-3.03%,9,201,103.03%,NFLX,P
60,NFLX190920P00380000,2019-09-12 3:52PM EDT,380,90.6,80.75,82.3,0,-,70,106,99.80%,NFLX,P
61,NFLX190920P00385000,2019-09-13 1:13PM EDT,385,89.4,85.25,87.5,0,-,20,56,147.80%,NFLX,P
62,NFLX190920P00390000,2019-09-11 2:22PM EDT,390,100.8,90.7,92.65,0,-,2,2,121.19%,NFLX,P
63,NFLX190920P00395000,2019-08-26 3:00PM EDT,395,100.66,95.7,97.65,0,-,263,0,125.98%,NFLX,P
64,NFLX190920P00400000,2019-08-15 3:52PM EDT,400,104.7,105.4,106.55,0,-,30,0,230.93%,NFLX,P
65,NFLX190920P00405000,2019-09-10 9:33AM EDT,405,115,105.75,107.5,0,-,10,0,131.64%,NFLX,P
66,NFLX190920P00410000,2019-07-31 2:45PM EDT,410,87.1,115.6,116.9,0,-,5,1,248.00%,NFLX,P
67,NFLX190920P00415000,2019-07-24 1:23PM EDT,415,96.9,117.95,118.7,0,-,6,3,202.44%,NFLX,P
68,NFLX190920P00420000,2019-08-28 12:31PM EDT,420,129.1,120.65,122.5,0,-,30,0,140.04%,NFLX,P
69,NFLX190920P00425000,2019-09-03 12:56PM EDT,425,133.6,125.25,127.5,0,-,10,1,190.87%,NFLX,P
70,NFLX190920P00430000,2019-08-28 12:31PM EDT,430,139.2,130.25,132.5,0,-,40,0,195.80%,NFLX,P
71,NFLX190920P00435000,2019-08-28 12:31PM EDT,435,144.2,135.75,137.35,0,-,40,0,149.41%,NFLX,P
72,NFLX190920P00440000,2019-08-28 12:31PM EDT,440,149.1,140.8,142.25,0,-,30,0,150.00%,NFLX,P
73,NFLX190920P00445000,2019-08-29 1:21PM EDT,445,146.15,145.25,147.5,0,-,10,0,210.11%,NFLX,P
74,NFLX190920P00450000,2019-09-09 10:03AM EDT,450,150.1,150.25,152.5,0,-,34,0,214.75%,NFLX,P
75,NFLX190920P00455000,2019-08-27 2:00PM EDT,455,165.38,155.65,157.5,0,-,5,0,167.58%,NFLX,P
76,NFLX190920P00460000,2019-07-22 3:44PM EDT,460,151.35,162.95,163.7,0,-,145,0,248.49%,NFLX,P
77,NFLX190920P00465000,2019-07-22 12:09AM EDT,465,141.6,168.65,169.4,0,-,-,-,270.02%,NFLX,P
78,NFLX190920P00470000,2019-07-23 2:46PM EDT,470,161.5,172.95,173.7,0,-,6,0,257.86%,NFLX,P
79,NFLX190920P00480000,2019-07-19 9:35AM EDT,480,158,182.95,183.7,0,-,1,0,266.89%,NFLX,P
80,NFLX190920P00485000,2019-07-22 12:09AM EDT,485,117.99,187.95,188.7,0,-,-,2,271.34%,NFLX,P
81,NFLX190920P00490000,2019-07-22 12:09AM EDT,490,167.88,192.95,193.7,0,-,1,0,275.68%,NFLX,P
82,NFLX190920P00500000,2019-07-05 9:52AM EDT,500,123.2,189.25,190.45,0,-,2,0,0.00%,NFLX,P
83,NFLX190920P00505000,2019-07-09 1:17PM EDT,505,124.8,195.15,196.85,0,-,6,0,0.00%,NFLX,P
84,NFLX190920P00520000,2019-06-07 11:04AM EDT,520,162.35,137.4,142,0,-,-,0,0.00%,NFLX,P
85,NFLX190920P00560000,2019-09-10 1:41PM EDT,560,273.15,260.25,262.5,0,-,-,-,301.17%,NFLX,P
